annomese;regione;energia_tot;potenza_imp;tariffa;residenza;somma_pod
202510;Abruzzo;71609,476;813,0;MTA3;N;2
202510;Abruzzo;66242,654;824,0;MTA3;N;1
202510;Abruzzo;333064,696;869,0;MTA3;N;1
202510;Abruzzo;354913,604;905,0;MTA3;N;1
202510;Abruzzo;143298,77;928,0;MTA3;N;1
202510;Abruzzo;222728,22;1157,0;MTA3;N;1
202510;Abruzzo;372452,503;1390,0;MTA3;N;1
202510;Abruzzo;764837,33;3000,0;MTA3;N/A;1
202510;Abruzzo;18693,342;3488,0;MTA3;N;1
202510;Abruzzo;969526,254;3750,0;MTA3;N;1
202510;Abruzzo;835383,237;6120,0;MTA3;N/A;1
202510;Abruzzo;0,019;1,5;N/A;N;1
202510;Abruzzo;75745,493;1,5;TD;N;5382
202510;Abruzzo;1486,037;1,6;BTIP;N/A;7
202510;Abruzzo;1570,249;2,3;BTIP;N;4
202510;Abruzzo;4135,624;2,4;BTIP;N;9
202510;Abruzzo;1176,261;2,4;BTIP;N/A;6
202510;Abruzzo;485,547;2,5;MTA1;N;1
202510;Abruzzo;307,276;2,5;TD;N/A;4
202510;Abruzzo;1056,836;2,7;TD;Y;8
202510;Abruzzo;785,374;3,0;BTA2;Y;9
202510;Abruzzo;141447,613;3,0;BTIP;N/A;499
202510;Abruzzo;1562,604;3,0;TDE;N;4
202510;Abruzzo;974,987;3,1;BTIP;N;2
202510;Abruzzo;1978,921;3,2;BTIP;N/A;7
202510;Abruzzo;301,975;3,3;BTA3;N;6
202510;Abruzzo;1468,207;3,3;BTA3;N/A;8
202510;Abruzzo;17764,305;3,3;BTIP;N;45
202510;Abruzzo;8626,438;3,5;BTIP;N;15
202510;Abruzzo;3018,176;4,1;BTIP;N/A;6
202510;Abruzzo;800,257;4,2;BTA3;N;1
202510;Abruzzo;4641,013;4,3;BTIP;N;6
202510;Abruzzo;1462,459;4,4;BTIP;N/A;4
202510;Abruzzo;403,964;5,3;MTA1;N;1
202510;Abruzzo;115,162;5,5;TD;N/A;1
202510;Abruzzo;1593,62;5,9;BTA3;N;12
202510;Abruzzo;245,344;6,0;N/A;Y;2
202510;Abruzzo;4492,522;6,5;BTIP;N;5
202510;Abruzzo;944,765;7,0;MTA1;N;3
202510;Abruzzo;21434,956;7,0;TD;N;94
202510;Abruzzo;2297,006;7,2;BTIP;N;3
202510;Abruzzo;5670,373;7,5;BTIP;N;6
202510;Abruzzo;1234,966;7,5;BTIP;N/A;2
